country,year,triadic
AUS,2012,337.49149
AUS,2013,309.3786
AUS,2014,321.9032
AUS,2015,348.95099
AUS,2016,372.81561
AUS,2017,374.17291
AUS,2018,414.9032
AUS,2019,446.20529
AUS,2020,412.7869
AUS,2021,328.71509
AUS,2022,103.5037
AUT,2012,377.71179
AUT,2013,380.69061
AUT,2014,400.59711
AUT,2015,403.76599
AUT,2016,376.73849
AUT,2017,444.92719
AUT,2018,372.6947
AUT,2019,404.05191
AUT,2020,399.61591
AUT,2021,337.4274
AUT,2022,140.9454
BEL,2012,431.362
BEL,2013,431.483
BEL,2014,393.7084
BEL,2015,425.01569
BEL,2016,425.85849
BEL,2017,414.1571
BEL,2018,407.47629
BEL,2019,411.6637
BEL,2020,455.48541
BEL,2021,431.82761
BEL,2022,169.3685
BRA,2012,71.279198
BRA,2013,59.799702
BRA,2014,61.2915
BRA,2015,64.968399
BRA,2016,67.079002
BRA,2017,64.349998
BRA,2018,67.766701
BRA,2019,67.162697
BRA,2020,81.9673
BRA,2021,43.402
BRA,2022,22.276199
CAN,2012,529.95978
CAN,2013,620.66711
CAN,2014,595.95813
CAN,2015,589.45563
CAN,2016,656.33801
CAN,2017,634.51501
CAN,2018,700.12903
CAN,2019,719.61011
CAN,2020,686.54077
CAN,2021,674.21777
CAN,2022,293.87439
CHE,2012,1142.2924
CHE,2013,1116.7936
CHE,2014,1181.5914
CHE,2015,1224.6884
CHE,2016,1212.6759
CHE,2017,1280.5946
CHE,2018,1333.6791
CHE,2019,1442.495
CHE,2020,1496.5071
CHE,2021,1383.8945
CHE,2022,568.76709
CHL,2012,10.0262
CHL,2013,11.6157
CHL,2014,8.4500999
CHL,2015,12.8476
CHL,2016,9.4792004
CHL,2017,13.4476
CHL,2018,11.4069
CHL,2019,11.3583
CHL,2020,9.7783003
CHL,2021,11.0373
CHL,2022,2.125
COL,2012,6.4471998
COL,2013,1.7208
COL,2014,4.6167002
COL,2015,5.1999998
COL,2016,3.1722
COL,2017,8.1754999
COL,2018,7.8523998
COL,2019,5.5855999
COL,2020,2.7
COL,2021,2.2367001
COL,2022,1.3095
CRI,2012,1.9485
CRI,2013,0.0
CRI,2014,0.93330002
CRI,2015,0.2
CRI,2016,0.34999999
CRI,2017,0.1111
CRI,2018,1.5926
CRI,2019,4.7579002
CRI,2020,10.0429
CRI,2021,1.6389
CRI,2022,5.9356999
CZE,2012,35.622398
CZE,2013,31.5429
CZE,2014,43.770699
CZE,2015,52.571098
CZE,2016,57.483398
CZE,2017,37.930099
CZE,2018,37.358101
CZE,2019,75.190102
