country,year,sci_literacy,sci_trust,tech_acceptance,relative_salary,rd_budget_per_researcher,innovation_score,rd_gdp_pct,researchers_per_m,patent_apps,journal_articles,gdp_per_capita,gov_edu_exp_pct,internet_users_pct,hi_tech_export_pct,tertiary_enroll,mobile_subs_per100,secure_servers_per_m,youth_unemp_pct,tertiary_attainment,population,articles_per_m_log,patents_per_m_log,pisa_math,pisa_reading,country_name
AUS,2012,521.0,0.7532352837067715,0.7252246989881479,1.0321664141764384,,51.9,,,2627.0,46728.07,68301.4402512587,,79.0,17.2855553325245,,106.499711805776,3187.89942492269,11.728,29.0356309258349,22733465.0,7.62874865303287,4.758376266723163,504.0,512.0,Australia
AUS,2013,,,,1.1074788992314233,,53.07,2.17733,,3061.0,50921.2,68476.6788496118,,83.453497167,18.0075143774834,,107.332200908321,3505.12572806905,12.22,26.7437896728516,23128129.0,7.697439127804435,4.892974697835266,,,Australia
AUS,2014,,,,1.0772239063918911,,55.01,,,1988.0,52854.67,62817.2061751737,,84.0,18.9961304703814,,106.206237340596,3938.58564985066,13.311,28.6151294708252,23475686.0,7.719780160213816,4.450658656575331,,,Australia
AUS,2015,510.0,,,1.1044997647491075,,55.22,1.91969,,2291.0,54235.21,56970.3613028094,,84.5605149091408,19.6921472541598,119.679389953613,107.608142007003,4574.11080242501,13.11,29.7797794342041,23815995.0,7.731167221580917,4.576728065789476,494.0,503.0,Australia
AUS,2016,,,,1.1312298663562363,,53.07,,,2620.0,55173.81,50084.4440606385,,86.54000092,20.6275044745549,119.682777404785,109.128813718295,9810.21505311893,12.642,30.0298099517822,24190907.0,7.732705197404895,4.694143583471197,,,Australia
AUS,2017,,,,1.137861247041198,,51.83,1.88102,,2503.0,55219.84,54117.547718609,,86.5450488476768,18.0967924595604,109.993309020996,107.799761578952,21552.9166755447,12.592,31.3911895751953,24592588.0,7.717077749939492,4.632577485743885,,,Australia
AUS,2018,503.0,0.7346889705671269,0.6913043663662511,1.1546154043589116,,51.98,,,2757.0,56691.37,57410.1737346009,,90.0082016,18.1371018191307,103.322090148926,110.033134941946,32929.1953798659,11.935,31.7493305206299,24963258.0,7.728412448918986,4.713507101521651,491.0,503.0,Australia
AUS,2019,,,,1.1320605806196231,,50.34,1.82826,,2637.0,58770.26,55194.7585097428,,93.60990143,21.2199332352628,109.759559631348,109.752830879788,36763.583850941,11.452,33.0947799682617,25334826.0,7.749642242219984,4.65477879997512,,,Australia
AUS,2020,,,,1.127068067518234,,48.35,,,2368.0,58870.89,51983.4523666382,5.38625001907349,94.6934967,21.4757898705835,110.139221191406,104.930155780087,39862.7281392421,14.142,35.0234107971191,25649248.0,7.739023358064561,4.536060108986595,,,Australia
AUS,2021,,,,1.1488112715637442,,48.3,1.85783,,2966.0,61975.95,60758.9044397144,5.34109020233154,96.97219849,22.3940766008599,112.688293457031,105.118514623956,46481.5592601746,11.134,35.9570999145508,25685412.0,7.788992837011106,4.757668986237179,,,Australia
