country_iso3,year,total_publications,top10_cited_publications,field_normalized_citation_impact,counting_method,source,snapshot_date,notes
AUS,2012,87961,33326,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
AUT,2012,22635,8254,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BEL,2012,41835,13374,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
BRA,2012,113932,37728,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CAN,2012,108657,41266,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHE,2012,43992,16424,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CHL,2012,13160,4428,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
COL,2012,19193,5130,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CRI,2012,2587,706,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
CZE,2012,20751,7661,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DEU,2012,170458,62045,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
DNK,2012,32428,9745,,whole_multi,OpenAlex API works group_by=authorships.countries (type:article|review; cited_by_percentile_year.min:90),2026-06-30,type=article|review; top10=cited_by_percentile_year.min:90; whole counting; recent-year citation window short
